DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
250;V1;elbow;FREM;356.4 1665 -5224.5;0 1284 -5359;0 1665 -5359
250;V1;elbow;FREM;356.4 1665 -5224.5;490.9 1665 -5200;421.5 1665 -5200
250;V3;elbow;FREM;443.5 1665 -5224.5;800 1284 -5359;800 1665 -5359
250;V3;elbow;FREM;443.5 1665 -5224.5;309 1665 -5200;378.5 1665 -5200
250;V2;elbow;FREM;356.4 965 -5224.5;0 584 -5359;0 965 -5359
250;V2;elbow;FREM;356.4 965 -5224.5;490.9 965 -5200;421.5 965 -5200
250;V4;elbow;FREM;443.5 965 -5224.5;800 584 -5359;800 965 -5359
250;V4;elbow;FREM;443.5 965 -5224.5;309 965 -5200;378.5 965 -5200
200;V1;elbow;FREM;284 1500 -5221;0 1195 -5332;0 1500 -5332
200;V1;elbow;FREM;284 1500 -5221;395.1 1500 -5200;337.6 1500 -5200
200;V3;elbow;FREM;466 1500 -5221;750 1195 -5332;750 1500 -5332
200;V3;elbow;FREM;466 1500 -5221;354.9 1500 -5200;412.4 1500 -5200
200;V2;elbow;FREM;284 885 -5221;0 580 -5332;0 885 -5332
200;V2;elbow;FREM;284 885 -5221;395.1 885 -5200;337.6 885 -5200
200;V4;elbow;FREM;466 885 -5221;750 580 -5332;750 885 -5332
200;V4;elbow;FREM;466 885 -5221;354.9 885 -5200;412.4 885 -5200
150;V1;elbow;FREM;211.8 1228 -5217.2;0 999 -5304.2;0 1228 -5304.2
150;V1;elbow;FREM;211.8 1228 -5217.2;298.8 1228 -5200;253.6 1228 -5200
150;V3;elbow;FREM;488.2 1228 -5217.2;700 999 -5304.2;700 1228 -5304.2
150;V3;elbow;FREM;488.2 1228 -5217.2;401.2 1228 -5200;446.4 1228 -5200
150;V2;elbow;FREM;211.8 778 -5217.2;0 549 -5304.2;0 778 -5304.2
150;V2;elbow;FREM;211.8 778 -5217.2;298.8 778 -5200;253.6 778 -5200
150;V4;elbow;FREM;488.2 778 -5217.2;700 549 -5304.2;700 778 -5304.2
150;V4;elbow;FREM;488.2 778 -5217.2;401.2 778 -5200;446.4 778 -5200
125;V1;elbow;FREM;176.2 1150 -5213.8;0 960 -5284.8;0 1150 -5284.8
125;V1;elbow;FREM;176.2 1150 -5213.8;247.2 1150 -5200;210.4 1150 -5200
125;V3;elbow;FREM;523.8 1150 -5213.8;700 960 -5284.8;700 1150 -5284.8
125;V3;elbow;FREM;523.8 1150 -5213.8;452.7 1150 -5200;489.6 1150 -5200
125;V2;elbow;FREM;176.2 725 -5213.8;0 535 -5284.8;0 725 -5284.8
125;V2;elbow;FREM;176.2 725 -5213.8;247.2 725 -5200;210.4 725 -5200
125;V4;elbow;FREM;523.8 725 -5213.8;700 535 -5284.8;700 725 -5284.8
125;V4;elbow;FREM;523.8 725 -5213.8;452.7 725 -5200;489.6 725 -5200
100;V1;elbow;FREM;140.4 1150 -5211.5;0 998 -5269.6;0 1150 -5269.6
100;V1;elbow;FREM;140.4 1150 -5211.5;198.5 1150 -5200;168.3 1150 -5200
100;V3;elbow;FREM;509.5 1150 -5211.5;650 998 -5269.6;650 1150 -5269.6
100;V3;elbow;FREM;509.5 1150 -5211.5;451.4 1150 -5200;481.6 1150 -5200
100;V2;elbow;FREM;140.4 750 -5211.5;0 598 -5269.6;0 750 -5269.6
100;V2;elbow;FREM;140.4 750 -5211.5;198.5 750 -5200;168.3 750 -5200
100;V4;elbow;FREM;509.5 750 -5211.5;650 598 -5269.6;650 750 -5269.6
100;V4;elbow;FREM;509.5 750 -5211.5;451.4 750 -5200;481.6 750 -5200
80;V1;elbow;FREM;103.9 1000 -5210.1;0 886 -5257;0 1000 -5257
80;V1;elbow;FREM;103.9 1000 -5210.1;150.8 1000 -5200;126.2 1000 -5200
80;V3;elbow;FREM;496.1 1000 -5210.1;600 886 -5257;600 1000 -5257
80;V3;elbow;FREM;496.1 1000 -5210.1;449.3 1000 -5200;473.8 1000 -5200
80;V2;elbow;FREM;103.9 640 -5210.1;0 526 -5256.9;0 640 -5256.9
80;V2;elbow;FREM;103.9 640 -5210.1;150.8 640 -5200;126.2 640 -5200
80;V4;elbow;FREM;496.1 640 -5210.1;600 526 -5256.9;600 640 -5256.9
80;V4;elbow;FREM;496.1 640 -5210.1;449.3 640 -5200;473.8 640 -5200
65;V1;elbow;FREM;86.4 1000 -5208.6;0 905 -5248.1;0 1000 -5248.1
65;V1;elbow;FREM;86.4 1000 -5208.6;125.8 1000 -5200;105.2 1000 -5200
65;V3;elbow;FREM;513.6 1000 -5208.6;600 905 -5248.1;600 1000 -5248.1
65;V3;elbow;FREM;513.6 1000 -5208.6;474.1 1000 -5200;494.8 1000 -5200
65;V2;elbow;FREM;86.4 690 -5208.6;0 595 -5248;0 690 -5248
65;V2;elbow;FREM;86.4 690 -5208.6;125.8 690 -5200;105.2 690 -5200
65;V4;elbow;FREM;513.6 690 -5208.6;600 595 -5248;600 690 -5248
65;V4;elbow;FREM;513.6 690 -5208.6;474.1 690 -5200;494.8 690 -5200
50;V1;elbow;FREM;68.6 1000 -5207.4;0 924 -5240.1;0 1000 -5240.1
50;V1;elbow;FREM;68.6 1000 -5207.4;101.3 1000 -5200;84.1 1000 -5200
50;V3;elbow;FREM;531.4 1000 -5207.4;600 924 -5240.1;600 1000 -5240.1
50;V3;elbow;FREM;531.4 1000 -5207.4;498.6 1000 -5200;515.8 1000 -5200
50;V2;elbow;FREM;68.6 700 -5207.4;0 624 -5240.1;0 700 -5240.1
50;V2;elbow;FREM;68.6 700 -5207.4;101.3 700 -5200;84.1 700 -5200
50;V4;elbow;FREM;531.4 700 -5207.4;600 624 -5240.1;600 700 -5240.1
50;V4;elbow;FREM;531.4 700 -5207.4;498.6 700 -5200;515.8 700 -5200
40;V1;elbow;FREM;50.2 1000 -5206.7;0 943 -5233.6;0 1000 -5233.6
40;V1;elbow;FREM;50.2 1000 -5206.7;77.1 1000 -5200;62.8 1000 -5200
40;V3;elbow;FREM;549.8 1000 -5206.7;600 943 -5233.6;600 1000 -5233.6
40;V3;elbow;FREM;549.8 1000 -5206.7;522.9 1000 -5200;537.2 1000 -5200
40;V2;elbow;FREM;50.2 740 -5206.7;0 683 -5233.6;0 740 -5233.6
40;V2;elbow;FREM;50.2 740 -5206.7;77.1 740 -5200;62.8 740 -5200
40;V4;elbow;FREM;549.8 740 -5206.7;600 683 -5233.6;600 740 -5233.6
40;V4;elbow;FREM;549.8 740 -5206.7;522.9 740 -5200;537.2 740 -5200
32;V1;elbow;FREM;41.4 1000 -5206.5;0 952 -5230.7;0 1000 -5230.7
32;V1;elbow;FREM;41.4 1000 -5206.5;65.6 1000 -5200;52.6 1000 -5200
32;V3;elbow;FREM;558.5 1000 -5206.5;600 952 -5230.7;600 1000 -5230.7
32;V3;elbow;FREM;558.5 1000 -5206.5;534.4 1000 -5200;547.3 1000 -5200
32;V2;elbow;FREM;41.4 740 -5206.5;0 692 -5230.7;0 740 -5230.7
32;V2;elbow;FREM;41.4 740 -5206.5;65.6 740 -5200;52.6 740 -5200
32;V4;elbow;FREM;558.5 740 -5206.5;600 692 -5230.7;600 740 -5230.7
32;V4;elbow;FREM;558.5 740 -5206.5;534.4 740 -5200;547.3 740 -5200
25;V1;elbow;FREM;32 1000 -5205.9;0 962 -5226.3;0 1000 -5226.3
25;V1;elbow;FREM;32 1000 -5205.9;52.4 1000 -5200;41.4 1000 -5200
25;V3;elbow;FREM;568 1000 -5205.9;600 962 -5226.3;600 1000 -5226.3
25;V3;elbow;FREM;568 1000 -5205.9;547.6 1000 -5200;558.6 1000 -5200
25;V2;elbow;FREM;32 760 -5205.9;0 722 -5226.3;0 760 -5226.3
25;V2;elbow;FREM;32 760 -5205.9;52.4 760 -5200;41.4 760 -5200
25;V4;elbow;FREM;568 760 -5205.9;600 722 -5226.3;600 760 -5226.3
25;V4;elbow;FREM;568 760 -5205.9;547.6 760 -5200;558.6 760 -5200
20;V1;elbow;FREM;33.3 1000 -5204.7;0 962 -5222.9;0 1000 -5222.9
20;V1;elbow;FREM;33.3 1000 -5204.7;51.6 1000 -5200;41.8 1000 -5200
20;V3;elbow;FREM;566.7 1000 -5204.7;600 962 -5222.9;600 1000 -5222.9
20;V3;elbow;FREM;566.7 1000 -5204.7;548.4 1000 -5200;558.2 1000 -5200
20;V2;elbow;FREM;33.3 760 -5204.7;0 722 -5222.9;0 760 -5222.9
20;V2;elbow;FREM;33.3 760 -5204.7;51.6 760 -5200;41.8 760 -5200
20;V4;elbow;FREM;566.7 760 -5204.7;600 722 -5222.9;600 760 -5222.9
20;V4;elbow;FREM;566.7 760 -5204.7;548.4 760 -5200;558.2 760 -5200
250;V1;pipe;FREM;0 0 -5359;0 1284 -5359;
250;V1;pipe;FREM;490.9 1665 -5200;800 1665 -5200;
250;V3;pipe;FREM;800 1284 -5359;800 0 -5359;
250;V3;pipe;FREM;309 1665 -5200;0 1665 -5200;
250;V2;pipe;FREM;0 0 -5359;0 584 -5359;
250;V2;pipe;FREM;490.9 965 -5200;800 965 -5200;
