DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
250;V1;elbow;FREM;356.4 1665 -24.5;0 1284 -159;0 1665 -159
250;V1;elbow;FREM;356.4 1665 -24.5;490.9 1665 0;421.5 1665 0
250;V1;pipe;FREM;0 0 -159;0 1284 -159;
250;V1;pipe;FREM;490.9 1665 0;800 1665 0;
250;V1;elbow;RETUR;356.4 965 24.5;0 584 159;0 965 159
250;V1;elbow;RETUR;356.4 965 24.5;490.9 965 0;421.5 965 0
250;V1;pipe;RETUR;0 584 159;0 0 159;
250;V1;pipe;RETUR;490.9 965 0;800 965 0;
250;V2;elbow;FREM;356.4 965 -24.5;0 584 -159;0 965 -159
250;V2;elbow;FREM;356.4 965 -24.5;490.9 965 0;421.5 965 0
250;V2;pipe;FREM;0 0 -159;0 584 -159;
250;V2;pipe;FREM;490.9 965 0;800 965 0;
250;V2;elbow;RETUR;356.4 1665 24.5;0 1284 159;0 1665 159
250;V2;elbow;RETUR;356.4 1665 24.5;490.9 1665 0;421.5 1665 0
250;V2;pipe;RETUR;0 1284 159;0 0 159;
250;V2;pipe;RETUR;490.9 1665 0;800 1665 0;
250;V3;elbow;FREM;443.5 1665 -24.5;800 1284 -159;800 1665 -159
250;V3;elbow;FREM;443.5 1665 -24.5;309 1665 0;378.5 1665 0
250;V3;pipe;FREM;800 1284 -159;800 0 -159;
250;V3;pipe;FREM;309 1665 0;0 1665 0;
250;V3;elbow;RETUR;443.5 965 24.5;800 584 159;800 965 159
250;V3;elbow;RETUR;443.5 965 24.5;309 965 0;378.5 965 0
250;V3;pipe;RETUR;800 0 159;800 584 159;
250;V3;pipe;RETUR;0 965 0;309 965 0;
250;V4;elbow;FREM;443.5 965 -24.5;800 584 -159;800 965 -159
250;V4;elbow;FREM;443.5 965 -24.5;309 965 0;378.5 965 0
250;V4;pipe;FREM;800 0 -159;800 584 -159;
250;V4;pipe;FREM;0 965 0;309 965 0;
250;V4;elbow;RETUR;443.5 1665 24.5;800 1284 159;800 1665 159
250;V4;elbow;RETUR;443.5 1665 24.5;309 1665 0;378.5 1665 0
250;V4;pipe;RETUR;800 0 159;800 1284 159;
250;V4;pipe;RETUR;309 1665 0;0 1665 0;
200;V1;elbow;FREM;284 1500 -21;0 1195 -132;0 1500 -132
200;V1;elbow;FREM;284 1500 -21;395.1 1500 0;337.6 1500 0
200;V1;pipe;FREM;0 0 -132;0 1195 -132;
200;V1;pipe;FREM;395.1 1500 0;750 1500 0;
200;V1;elbow;RETUR;284 885 21;0 580 132;0 885 132
200;V1;elbow;RETUR;284 885 21;395.1 885 0;337.6 885 0
200;V1;pipe;RETUR;0 0 132;0 580 132;
200;V1;pipe;RETUR;750 885 0;395.1 885 0;
200;V2;elbow;FREM;284 885 -21;0 580 -132;0 885 -132
200;V2;elbow;FREM;284 885 -21;395.1 885 0;337.6 885 0
200;V2;pipe;FREM;0 0 -132;0 580 -132;
200;V2;pipe;FREM;750 885 0;395.1 885 0;
200;V2;elbow;RETUR;284 1500 21;0 1195 132;0 1500 132
200;V2;elbow;RETUR;284 1500 21;395.1 1500 0;337.6 1500 0
200;V2;pipe;RETUR;0 1195 132;0 0 132;
200;V2;pipe;RETUR;395.1 1500 0;750 1500 0;
200;V3;elbow;FREM;466 1500 -21;750 1195 -132;750 1500 -132
200;V3;elbow;FREM;466 1500 -21;354.9 1500 0;412.4 1500 0
200;V3;pipe;FREM;750 0 -132;750 1195 -132;
200;V3;pipe;FREM;354.9 1500 0;0 1500 0;
200;V3;elbow;RETUR;466 885 21;750 580 132;750 885 132
200;V3;elbow;RETUR;466 885 21;354.9 885 0;412.4 885 0
200;V3;pipe;RETUR;750 580 132;750 0 132;
200;V3;pipe;RETUR;354.9 885 0;0 885 0;
200;V4;elbow;FREM;466 885 -21;750 580 -132;750 885 -132
200;V4;elbow;FREM;466 885 -21;354.9 885 0;412.4 885 0
200;V4;pipe;FREM;750 0 -132;750 580 -132;
200;V4;pipe;FREM;0 885 0;354.9 885 0;
200;V4;elbow;RETUR;466 1500 21;750 1195 132;750 1500 132
200;V4;elbow;RETUR;466 1500 21;354.9 1500 0;412.4 1500 0
200;V4;pipe;RETUR;750 0 132;750 1195 132;
200;V4;pipe;RETUR;354.9 1500 0;0 1500 0;
150;V1;elbow;FREM;211.8 1228 -17.2;0 999 -104.2;0 1228 -104.2
150;V1;elbow;FREM;211.8 1228 -17.2;298.8 1228 0;253.6 1228 0
150;V1;pipe;FREM;0 0 -104.2;0 999 -104.2;
150;V1;pipe;FREM;298.8 1228 0;700 1228 0;
150;V1;elbow;RETUR;211.8 778 17.2;0 549 104.2;0 778 104.2
150;V1;elbow;RETUR;211.8 778 17.2;298.8 778 0;253.6 778 0
150;V1;pipe;RETUR;0 549 104.2;0 0 104.2;
150;V1;pipe;RETUR;298.8 778 0;700 778 0;
150;V2;elbow;FREM;211.8 778 -17.2;0 549 -104.2;0 778 -104.2
150;V2;elbow;FREM;211.8 778 -17.2;298.8 778 0;253.6 778 0
150;V2;pipe;FREM;0 0 -104.2;0 549 -104.2;
150;V2;pipe;FREM;298.8 778 0;700 778 0;
150;V2;elbow;RETUR;211.8 1228 17.2;0 999 104.2;0 1228 104.2
150;V2;elbow;RETUR;211.8 1228 17.2;298.8 1228 0;253.6 1228 0
150;V2;pipe;RETUR;0 999 104.2;0 0 104.2;
150;V2;pipe;RETUR;298.8 1228 0;700 1228 0;
150;V3;elbow;FREM;488.2 1228 -17.2;700 999 -104.2;700 1228 -104.2
150;V3;elbow;FREM;488.2 1228 -17.2;401.2 1228 0;446.4 1228 0
150;V3;pipe;FREM;700 0 -104.2;700 999 -104.2;
150;V3;pipe;FREM;0 1228 0;401.2 1228 0;
150;V3;elbow;RETUR;488.2 778 17.2;700 549 104.2;700 778 104.2
150;V3;elbow;RETUR;488.2 778 17.2;401.2 778 0;446.4 778 0
150;V3;pipe;RETUR;700 549 104.2;700 0 104.2;
150;V3;pipe;RETUR;0 778 0;401.2 778 0;
150;V4;elbow;FREM;488.2 778 -17.2;700 549 -104.2;700 778 -104.2
150;V4;elbow;FREM;488.2 778 -17.2;401.2 778 0;446.4 778 0
150;V4;pipe;FREM;700 0 -104.2;700 549 -104.2;
150;V4;pipe;FREM;401.2 778 0;0 778 0;
150;V4;elbow;RETUR;488.2 1228 17.2;700 999 104.2;700 1228 104.2
150;V4;elbow;RETUR;488.2 1228 17.2;401.2 1228 0;446.4 1228 0
150;V4;pipe;RETUR;700 999 104.2;700 0 104.2;
150;V4;pipe;RETUR;401.2 1228 0;0 1228 0;
125;V1;elbow;FREM;176.2 1150 -13.8;0 960 -84.8;0 1150 -84.8
125;V1;elbow;FREM;176.2 1150 -13.8;247.2 1150 0;210.4 1150 0
125;V1;pipe;FREM;0 960 -84.8;0 0 -84.8;
125;V1;pipe;FREM;247.2 1150 0;700 1150 0;
125;V1;elbow;RETUR;176.2 725 13.8;0 535 84.8;0 725 84.8
125;V1;elbow;RETUR;176.2 725 13.8;247.2 725 0;210.4 725 0
125;V1;pipe;RETUR;0 535 84.8;0 0 84.8;
125;V1;pipe;RETUR;247.2 725 0;700 725 0;
125;V2;elbow;FREM;176.2 725 -13.8;0 535 -84.8;0 725 -84.8
125;V2;elbow;FREM;176.2 725 -13.8;247.2 725 0;210.4 725 0
125;V2;pipe;FREM;0 0 -84.8;0 535 -84.8;
125;V2;pipe;FREM;247.2 725 0;700 725 0;
125;V2;elbow;RETUR;176.2 1150 13.8;0 960 84.8;0 1150 84.8
125;V2;elbow;RETUR;176.2 1150 13.8;247.2 1150 0;210.4 1150 0
125;V2;pipe;RETUR;0 0 84.8;0 960 84.8;
125;V2;pipe;RETUR;700 1150 0;247.2 1150 0;
125;V3;elbow;FREM;523.8 1150 -13.8;700 960 -84.8;700 1150 -84.8
125;V3;elbow;FREM;523.8 1150 -13.8;452.7 1150 0;489.6 1150 0
125;V3;pipe;FREM;700 0 -84.8;700 960 -84.8;
125;V3;pipe;FREM;0 1150 0;452.7 1150 0;
125;V3;elbow;RETUR;523.8 725 13.8;700 535 84.8;700 725 84.8
125;V3;elbow;RETUR;523.8 725 13.8;452.7 725 0;489.6 725 0
