mainDN,branchDN,D,D1,s,L,L1
# DN20 main
20,20,125,125,70,1100,700
20,25,125,125,70,1100,730
20,32,125,140,70,1100,750
20,40,125,140,70,1100,780
20,50,125,160,70,1100,810
20,65,125,180,70,1100,850
20,80,125,200,70,1100,880
20,100,125,250,70,1100,950
20,125,125,280,70,1100,1020
20,150,125,315,70,1100,1100
20,200,125,400,70,1100,1200
20,250,125,500,70,1100,1300
20,300,125,560,70,1100,1400
20,350,125,630,70,1100,1500
# DN25 main
25,25,125,125,70,1100,730
25,32,125,140,70,1100,760
25,40,125,140,70,1100,790
25,50,125,160,70,1100,820
25,65,125,180,70,1100,860
25,80,125,200,70,1100,890
25,100,125,250,70,1100,960
25,125,125,280,70,1100,1030
25,150,125,315,70,1100,1110
25,200,125,400,70,1100,1210
25,250,125,500,70,1100,1310
25,300,125,560,70,1100,1410
25,350,125,630,70,1100,1510
# DN32 main
32,32,140,140,70,1100,780
32,40,140,140,70,1100,810
32,50,140,160,70,1100,840
32,65,140,180,70,1100,880
32,80,140,200,70,1100,910
32,100,140,250,70,1100,980
32,125,140,280,70,1100,1050
32,150,140,315,70,1100,1130
32,200,140,400,70,1100,1230
32,250,140,500,70,1100,1330
32,300,140,560,70,1100,1430
32,350,140,630,70,1100,1530
# DN40 main
40,40,140,140,70,1100,810
40,50,140,160,70,1100,840
40,65,140,180,70,1100,880
40,80,140,200,70,1100,910
40,100,140,250,70,1100,980
40,125,140,280,70,1100,1050
40,150,140,315,70,1100,1130
40,200,140,400,70,1100,1230
40,250,140,500,70,1100,1330
40,300,140,560,70,1100,1430
40,350,140,630,70,1100,1530
# DN50 main
50,50,160,160,70,1200,850
50,65,160,180,70,1200,890
50,80,160,200,70,1200,920
50,100,160,250,70,1200,990
50,125,160,280,70,1200,1060
50,150,160,315,70,1200,1140
50,200,160,400,70,1200,1240
50,250,160,500,70,1200,1340
50,300,160,560,70,1200,1440
50,350,160,630,70,1200,1540
# DN65 main
65,65,180,180,70,1200,920
65,80,180,200,70,1200,950
65,100,180,250,70,1200,1020
65,125,180,280,70,1200,1090
65,150,180,315,70,1200,1170
65,200,180,400,70,1200,1270
65,250,180,500,70,1200,1370
65,300,180,560,70,1200,1470
65,350,180,630,70,1200,1570
# DN80 main
80,80,200,200,70,1200,980
80,100,200,250,70,1200,1050
80,125,200,280,70,1200,1120
80,150,200,315,70,1200,1200
80,200,200,400,70,1200,1300
80,250,200,500,70,1200,1400
80,300,200,560,70,1200,1500
80,350,200,630,70,1200,1600
# DN100 main
100,100,250,250,70,1300,1100
100,125,250,280,70,1300,1170
100,150,250,315,70,1300,1250
100,200,250,400,70,1200,1000
100,250,250,500,70,1300,1450
100,300,250,560,70,1300,1550
100,350,250,630,70,1300,1650
# DN125 main
125,125,280,280,70,1300,1200
125,150,280,315,70,1300,1280
125,200,280,400,70,1300,1380
125,250,280,500,70,1300,1480
125,300,280,560,70,1300,1580
125,350,280,630,70,1300,1680
# DN150 main
150,150,315,315,70,1400,1350
150,200,315,400,70,1400,1450
150,250,315,500,70,1400,1550
150,300,315,560,70,1400,1650
150,350,315,630,70,1400,1750
# DN200 main
200,200,400,400,70,1500,1500
200,250,400,500,70,1500,1600
200,300,400,560,70,1500,1700
200,350,400,630,70,1500,1800
# DN250 main
250,250,500,500,70,1600,1700
250,300,500,560,70,1600,1800
250,350,500,630,70,1600,1900
# DN300 main
300,300,560,560,70,1700,1900
300,350,560,630,70,1700,2000
# DN350 main
350,350,630,630,70,1700,1400
# DN400 main
400,400,710,710,70,1700,1400

