M;B;D;D1;s;L;L1
20;20;90;90;70;1100;695
25;20;90;90;70;1100;695
32;20;110;90;70;1100;705
40;20;110;90;70;1100;705
50;20;125;90;70;1100;710
65;20;140;90;70;1100;720
80;20;160;90;70;1100;730
100;20;200;90;70;1100;750
125;20;225;90;70;1100;760
150;20;250;90;70;1100;775
200;20;315;90;70;1100;805
250;20;400;90;70;1100;850
300;20;450;90;70;1100;875
350;20;500;90;70;1100;900
400;20;560;90;70;1100;930
25;25;90;90;70;1100;695
32;25;110;90;70;1100;705
40;25;110;90;70;1100;705
50;25;125;90;70;1100;710
65;25;140;90;70;1100;720
80;25;160;90;70;1100;730
100;25;200;90;70;1100;750
125;25;225;90;70;1100;760
150;25;250;90;70;1100;775
200;25;315;90;70;1100;805
250;25;400;90;70;1100;850
300;25;450;90;70;1100;875
350;25;500;90;70;1100;900
400;25;560;90;70;1100;930
32;32;110;110;70;1100;715
40;32;110;110;70;1100;715
50;32;125;110;70;1100;720
65;32;140;110;70;1100;730
80;32;160;110;70;1100;740
100;32;200;110;70;1100;760
125;32;225;110;70;1100;770
150;32;250;110;70;1100;785
200;32;315;110;70;1100;815
250;32;400;110;70;1100;860
300;32;450;110;70;1100;885
350;32;500;110;70;1100;910
400;32;560;110;70;1100;940
40;40;110;110;70;1100;715
50;40;125;110;70;1100;720
65;40;140;110;70;1100;730
80;40;160;110;70;1100;740
100;40;200;110;70;1100;760
125;40;225;110;70;1100;770
150;40;250;110;70;1100;785
200;40;315;110;70;1100;815
250;40;400;110;70;1100;860
300;40;450;110;70;1100;885
350;40;500;110;70;1100;910
400;40;560;110;70;1100;940
50;50;125;125;70;1100;730
65;50;140;125;70;1100;735
80;50;160;125;70;1100;745
100;50;200;125;70;1100;765
125;50;225;125;70;1100;780
150;50;250;125;70;1100;790
200;50;315;125;70;1100;825
250;50;400;125;70;1100;865
300;50;450;125;70;1100;890
350;50;500;125;70;1100;915
400;50;560;125;70;1100;945
65;65;140;140;70;1100;745
80;65;160;140;70;1100;745
100;65;200;140;70;1100;775
125;65;225;140;70;1100;785
150;65;250;140;70;1100;800
200;65;315;140;70;1100;830
250;65;400;140;70;1100;875
300;65;450;140;70;1100;900
350;65;500;140;70;1100;925
400;65;560;140;70;1100;955
80;80;160;160;70;1200;800
100;80;200;160;70;1200;800
125;80;225;160;70;1200;800
150;80;250;160;70;1200;800
200;80;315;160;70;1100;850
