NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea;R;G;B;Price
32;32;3.6;24.8;0.000483051;255;63;0;1200
40;40;3.7;32.6;0.00083469;255;127;0;1702
50;50;4.6;40.8;0.001307405;255;191;0;1756
63;63;5.8;51.4;0.002074991;255;255;0;1866
75;75;6.8;61.4;0.00296092;191;255;0;1976
90;90;8.2;73.6;0.00425447;127;255;0;2086
110;110;10;90;0.006361725;63;255;0;2196
125;125;11.4;102.2;0.008203358;0;255;0;2415
160;160;14.6;130.8;0.013437094;0;255;63;3293
200;200;18.2;163.6;0.02102115;0;255;127;3733
250;250;22.7;204.6;0.032877678;0;255;191;4172
