NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea;R;G;B;Price
16;16;2.2;11.6;0.000105683;255;0;0;6859
32;32;2.9;26.2;0.000539129;255;63;0;6859
40;40;3.7;32.6;0.00083469;255;127;0;6859
50;50;4.6;40.8;0.001307405;255;191;0;6859
63;63;5.8;51.4;0.002074991;255;255;0;6859
75;75;6.8;61.4;0.00296092;191;255;0;6894
90;90;5.4;79.2;0.00492652;127;255;0;7345
110;110;6.6;96.8;0.007359369;63;255;0;8335
160;160;9.5;141;0.015614501;0;255;0;8803
200;200;11.9;176.2;0.024383817;0;255;63;10507
225;225;13.4;198.2;0.030852985;0;255;127;12397
250;250;14.8;220.4;0.038151627;0;255;191;13745
280;280;16.6;246.8;0.047838791;0;255;255;18292
315;315;18.7;277.6;0.060524165;0;191;255;21036
355;355;21.1;312.8;0.076846372;0;127;255;24191
400;400;23.7;352.6;0.097646009;0;63;255;27820
450;450;26.7;396.6;0.123536502;0;0;255;10000000
500;500;29.6;440.8;0.152606507;63;0;255;15000000
560;560;33.2;493.6;0.191355163;127;0;255;20000000
630;630;37.3;555.4;0.242271112;191;0;255;25000000
710;710;42.1;625.8;0.307582058;255;0;255;30000000
800;800;47.4;702.8;0.387930018;255;0;191;35000000
900;900;53.3;793.4;0.494395232;255;0;127;40000000
1000;1000;59.3;881.4;0.610149098;255;0;63;45000000
