NominalDiameter;OuterDiameter;WallThickness;InnerDiameter;CrossSectionArea;R;G;B;Price
20;26.9;2.6;21.7;0.000369836;0;0;0;6859
25;33.7;2.6;28.5;0.00063794;47;63;111;6859
32;42.4;2.6;37.2;0.001086865;50;81;139;6859
40;48.3;2.6;43.1;0.001458963;68;85;196;6894
50;60.3;2.9;54.5;0.002332829;71;115;235;7345
65;76.1;2.9;70.3;0.003881508;67;144;254;8335
80;88.9;3.2;82.5;0.005345616;51;173;247;8803
100;114.3;3.6;107.1;0.009008839;31;201;221;10507
125;139.7;3.6;132.5;0.013788647;24;223;191;12397
150;168.3;4;160.3;0.020181662;42;239;161;13745
200;219.1;4.5;210.1;0.034669054;81;250;123;18292
250;273;5;263;0.054325206;126;255;85;21036
300;323.9;5.6;312.7;0.076797246;164;252;60;24191
350;355.6;5.6;344.4;0.093157144;194;242;52;27820
400;406.4;6.3;393.8;0.121798322;222;224;55;100000000
450;457;6.3;444.4;0.155109351;242;201;58;100000000
500;508;6.3;495.4;0.192753328;253;175;53;100000000
550;559;6.3;546.4;0.234482946;254;143;41;100000000
600;610;7.1;595.8;0.278798787;246;109;25;100000000
700;711;8;695;0.379366948;233;77;13;100000000
800;813;8.8;795.4;0.496890913;214;53;6;100000000
900;914;10;894;0.627718487;189;32;2;100000000
1000;1016;10;996;0.779127544;157;16;1;100000000
